#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_amethyst_hills;Amethyst Hills;Amethyst Hills;Amethyst Hills;;Amethyst Hills;;;;;;;;;x
d_amethyst_hills_adj;Amethyst Hillsian;;Amethyst Hillser;;;;;;;;;;;x
d_aurbusia;Aurbusia;Aurbusia;Aurbusia;;Aurbusia;;;;;;;;;x
d_aurbusia_adj;Aurbusian;;aurbuser;;;;;;;;;;;x
d_axion;Axion;Axion;Axion;;Axion;;;;;;;;;x
d_axion_adj;Axionian;;axioner;;;;;;;;;;;x
d_bleekland;Bleekland;Bleekland;Bleekland;;Bleekland;;;;;;;;;x
d_bleekland_adj;Bleeklandian;;bleeklander;;;;;;;;;;;x
d_gervennin;Gervennin;Gervennin;Gervennin;;Gervennin;;;;;;;;;x
d_gervennin_adj;Gervenninian;;gervenniner;;;;;;;;;;;x
d_noneyr;Noneyr;Noneyr;Noneyr;;Noneyr;;;;;;;;;x
d_noneyr_adj;Noneyrian;;noneyrer;;;;;;;;;;;x
d_old_volk;Old Volk;Old Volk;Old Volk;;Old Volk;;;;;;;;;x
d_old_volk_adj;Old Volkian;;Old Volker;;;;;;;;;;;x
d_ragtown;Ragtown;Ragtown;Ragtown;;Ragtown;;;;;;;;;x
d_ragtown_adj;Ragtownian;;ragtowner;;;;;;;;;;;x
d_raskath;Raskath;Raskath;Raskath;;Raskath;;;;;;;;;x
d_raskath_adj;Raskathian;;raskather;;;;;;;;;;;x
d_rifheld;Rifheld;Rifheld;Rifheld;;Rifheld;;;;;;;;;x
d_rifheld_adj;Rifheldian;;rifhelder;;;;;;;;;;;x
d_south_inlet;South Inlet;South Inlet;South Inlet;;South Inlet;;;;;;;;;x
d_south_inlet_adj;South Inletian;;South Inleter;;;;;;;;;;;x
d_the_archeron;The Archeron;The Archeron;The Archeron;;The Archeron;;;;;;;;;x
d_the_archeron_adj;The Archeronian;;The Archeroner;;;;;;;;;;;x
d_the_demerons;The Demerons;The Demerons;The Demerons;;The Demerons;;;;;;;;;x
d_the_demerons_adj;The Demeronsian;;The Demeronser;;;;;;;;;;;x
d_westbay;Westbay;Westbay;Westbay;;Westbay;;;;;;;;;x
d_westbay_adj;Westbaian;;westbaer;;;;;;;;;;;x
